record_name,release_name,model,passed,repair_rounds,note
Fsm_ps2data,Fsm_ps2data,gpt-4o,0,25,
Fsm_ps2data,Fsm_ps2data,gpt-4o-mini,0,25,
Fsm_ps2data,Fsm_ps2data,o1-mini,0,25,
Fsm_serial,Fsm_serial,gpt-4,0,25,
Fsm_serial,Fsm_serial,gpt-4o,0,25,
Fsm_serial,Fsm_serial,gpt-4o-mini,0,25,
Fsm_serial,Fsm_serial,o1-mini,0,25,
Fsm_serialdata,Fsm_serialdata,gpt-4,0,25,
Fsm_serialdata,Fsm_serialdata,gpt-4o,0,25,
Fsm_serialdata,Fsm_serialdata,gpt-4o-mini,0,25,
Fsm_serialdata,Fsm_serialdata,o1-mini,0,25,
Fsm_serialdp,,gpt-4,0,25,
Fsm_serialdp,,gpt-4o,0,25,
Fsm_serialdp,,gpt-4o-mini,0,25,
Fsm_serialdp,,o1-mini,0,25,
full_adder,full_adder,gpt-4,1,0,
full_adder,full_adder,gpt-4o,1,0,
full_adder,full_adder,gpt-4o-mini,1,0,
full_adder,full_adder,o1-mini,1,0,
Gates,Gates,gpt-4,0,25,
Gates,Gates,gpt-4o,1,0,
Gates,Gates,gpt-4o-mini,1,0,
Gates,Gates,o1-mini,1,0,
Gates100_b,Gates100,gpt-4,1,0,
Gates100_b,Gates100,gpt-4o,1,0,
Gates100_b,Gates100,gpt-4o-mini,1,0,
Gates100_b,Gates100,o1-mini,1,0,
Gates4,Gates4,gpt-4,1,0,
Gates4,Gates4,gpt-4o,1,0,
Gates4,Gates4,gpt-4o-mini,1,0,
Gates4,Gates4,o1-mini,1,0,
Gatesv100_b,Gatesv100,gpt-4,1,1,
Gatesv100_b,Gatesv100,gpt-4o,1,0,
Gatesv100_b,Gatesv100,gpt-4o-mini,1,0,
Gatesv100_b,Gatesv100,o1-mini,1,0,
Gatesv_b,Gatesv_alt,gpt-4,0,25,
Gatesv_b,Gatesv_alt,gpt-4o,0,25,
Gatesv_b,Gatesv_alt,gpt-4o-mini,0,25,
Gatesv_b,Gatesv_alt,o1-mini,1,1,
Hadd,Hadd,gpt-4,1,0,
Hadd,Hadd,gpt-4o,1,0,
Hadd,Hadd,gpt-4o-mini,1,0,
Hadd,Hadd,o1-mini,1,0,
half_adder,half_adder,gpt-4,1,2,
half_adder,half_adder,gpt-4o,1,0,
half_adder,half_adder,gpt-4o-mini,1,0,
half_adder,half_adder,o1-mini,1,0,
intermediate1,intermediate1,gpt-4,1,0,
intermediate1,intermediate1,gpt-4o,1,0,
intermediate1,intermediate1,gpt-4o-mini,1,0,
intermediate1,intermediate1,o1-mini,1,0,
intermediate2,intermediate2,gpt-4,1,1,
intermediate2,intermediate2,gpt-4o,1,0,
intermediate2,intermediate2,gpt-4o-mini,1,0,
intermediate2,intermediate2,o1-mini,1,0,
intermediate3,intermediate3,gpt-4,1,23,
intermediate3,intermediate3,gpt-4o,1,6,
intermediate3,intermediate3,gpt-4o-mini,0,25,
intermediate3,intermediate3,o1-mini,1,1,
intermediate4,intermediate4,gpt-4,1,3,
intermediate4,intermediate4,gpt-4o,1,0,
intermediate4,intermediate4,gpt-4o-mini,1,1,
intermediate4,intermediate4,o1-mini,1,0,
intermediate5,intermediate5,gpt-4,1,0,
intermediate5,intermediate5,gpt-4o,1,0,
intermediate5,intermediate5,gpt-4o-mini,1,0,
intermediate5,intermediate5,o1-mini,1,0,
intermediate6,intermediate6,gpt-4,1,6,
intermediate6,intermediate6,gpt-4o,1,5,
